retardo_ms,timeout_s,repeticion,codigo_http,latencia_ms
500,1.0,1,503,1432.6
500,1.0,1,503,1485.5
500,1.0,1,503,1504.6
500,1.0,1,503,1513.7
500,1.0,1,503,1424.9
500,1.0,1,503,1504.8
500,1.0,1,503,1548.2
500,1.0,1,503,1541.3
500,1.0,1,503,1544.6
500,1.0,1,503,1508.6
500,1.0,1,503,1485.5
500,1.0,1,503,1487.7
500,1.0,1,503,1488.8
500,1.0,1,503,1495.2
500,1.0,1,503,1488.2
500,1.0,1,503,1481.7
500,1.0,1,503,1074.0
500,1.0,1,503,1079.4
500,1.0,1,503,1101.2
500,1.0,1,503,1100.7
500,1.0,1,503,1093.0
500,1.0,1,503,1094.7
500,1.0,1,503,1094.7
500,1.0,1,503,1100.1
500,1.0,1,503,1095.1
500,1.0,1,503,1094.8
500,1.0,1,503,1069.7
500,1.0,1,503,1067.6
500,1.0,1,503,1061.7
500,1.0,1,503,1064.1
500,1.0,1,503,1057.7
500,1.0,1,503,1052.2
500,1.0,1,503,1050.6
500,1.0,1,503,1053.2
500,1.0,1,503,1051.3
500,1.0,1,503,1048.0
500,1.0,1,503,1360.4
500,1.0,1,503,1403.8
500,1.0,1,503,1349.4
500,1.0,1,503,1359.0
500,1.0,1,503,1429.2
500,1.0,1,503,1405.3
500,1.0,1,503,1426.6
500,1.0,1,503,1443.5
500,1.0,1,503,1431.3
500,1.0,1,503,1433.4
500,1.0,1,503,1560.4
500,1.0,1,503,1556.8
500,1.0,1,503,1553.1
500,1.0,1,503,1511.7
500,1.0,1,503,1504.0
500,1.0,1,503,1485.3
500,1.0,1,503,1487.9
500,1.0,1,503,1488.6
500,1.0,1,503,1489.1
500,1.0,1,503,1487.1
500,1.0,1,503,1063.9
500,1.0,1,503,1069.1
500,1.0,1,503,1090.1
500,1.0,1,503,1100.4
500,1.0,1,503,1095.1
500,1.0,1,503,1095.5
500,1.0,1,503,1103.9
500,1.0,1,503,1088.1
500,1.0,1,503,1090.8
500,1.0,1,503,1093.0
500,2.0,1,201,1077.7
500,2.0,1,201,1078.5
500,2.0,1,201,1079.4
500,2.0,1,201,1086.0
500,2.0,1,201,1087.3
500,2.0,1,201,1581.2
500,2.0,1,201,1090.4
500,2.0,1,201,1091.2
500,2.0,1,201,1092.8
500,2.0,1,201,1087.5
500,2.0,1,201,1637.0
500,2.0,1,201,1076.5
500,2.0,1,201,1080.8
500,2.0,1,201,1077.6
500,2.0,1,201,1149.2
500,2.0,1,201,1577.3
500,2.0,1,201,1632.1
500,2.0,1,201,1638.0
500,2.0,1,201,1635.9
500,2.0,1,201,1629.5
500,2.0,1,201,1573.8
500,2.0,1,201,1627.2
500,2.0,1,503,2137.8
500,2.0,1,201,1646.3
500,2.0,1,503,2135.1
500,2.0,1,201,2138.4
500,2.0,1,503,2136.4
500,2.0,1,503,2131.5
500,2.0,1,201,1710.9
500,2.0,1,201,2075.3
500,2.0,1,201,2074.6
500,2.0,1,201,2128.0
500,2.0,1,201,2125.2
500,2.0,1,503,2617.0
500,2.0,1,503,2132.8
500,2.0,1,201,2138.9
500,2.0,1,503,2621.4
500,2.0,1,503,2121.0
500,2.0,1,201,2137.3
500,2.0,1,503,2554.1
500,2.0,1,503,2641.1
500,2.0,1,503,2126.7
500,2.0,1,201,1628.1
500,2.0,1,201,2143.7
500,2.0,1,503,2620.5
500,2.0,1,503,2623.3
500,2.0,1,503,2553.3
500,2.0,1,503,2612.0
500,2.0,1,503,2629.8
500,2.0,1,503,2626.4
500,2.0,1,503,2032.1
500,2.0,1,503,2029.9
500,2.0,1,503,2090.3
500,2.0,1,503,2058.8
500,2.0,1,503,2060.5
500,2.0,1,503,2062.7
500,2.0,1,503,2067.6
500,2.0,1,503,2072.1
500,2.0,1,503,2069.0
500,2.0,1,503,2075.5
500,2.0,1,503,2489.3
500,2.0,1,503,2492.1
500,2.0,1,503,2513.2
500,2.0,1,503,2087.6
500,2.0,1,503,2088.4
500,2.0,1,201,2504.6
500,2.0,1,503,2091.5
500,2.0,1,503,2115.2
500,2.0,1,503,2135.2
500,2.0,1,503,2159.1
500,2.0,1,503,2440.2
500,2.0,1,503,2448.6
500,2.0,1,503,2506.9
500,2.0,1,503,2515.9
500,2.0,1,503,2450.9
500,2.0,1,503,2092.9
500,2.0,1,503,2088.8
500,2.0,1,503,2043.9
